// range 230¿¡ scope 170ÀÌ º¸Åë¸Ê ¼³Á¤
// range_IN : ¸Ê¿¡ ÁøÀÔ½Ã range

// rotationFrom -360 , To : 360 ÀÌ º¸Åë¸Ê ¼³Á¤
// rotation_IN :  ¸Ê¿¡ ÁøÀÔ½Ã rotation_IN À¸·Î ÁøÀÔ

// altitudeFrom -50 , To : -65 ÀÌ º¸Åë¸Ê ¼³Á¤ 
//              -25 ´Â º¸Åë¸ÊÀÇ ÃÖ´ëÇã¿ë¹üÀ§
// altitude_IN : ¸Ê¿¡ ÁøÀÔ½Ã altitude_INÀ¸·Î ÁøÀÔ

//nome do mapa  zoom_MIN zoomMAX  zoomENTRADA(melhor deixar <= zoom_MIN + zoom_MAX)           
// ¸Ê ÀÌ¸§ 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_map02.rsw#	250#	400#	699#		-360#		360#		0#		-50#		-65#		-65#


////  instancias ////
1@dth1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@dth2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@dth3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@rev.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@eom.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@jtb.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@cheff.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@mcd.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@uns.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@lab.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@xm_d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@tnm1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@tnm2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@tnm3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@ge_st.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@gef.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@gef_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@spa.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

1@def01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@crd.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@ecl.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@slw.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@swat.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@lhz.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@lhz_d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@cash.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@pump.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2@pump.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@odin.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@gl_k.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2@gl_k.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
3@gl_k.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@scrb.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

//// instancias ilusionais ////
1@ice_d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@prt_mz.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@com_d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

//// eden ////
moc_para01.rsw# 250# 750# 1000# -360# 360# 0# -50# -65# -65#

//// grupo ////
party_room.rsw# 250# 750# 1000# -360# 360# 0# -50# -65# -65#

//// evento ////
map_events.rsw# 250# 750# 1000# -360# 360# 0# -50# -65# -65#

//// cidades ////
xmas_in.rsw# 250# 750# 1000# -360# 360# 0# -50# -65# -65#

//// cheffenia ////
cheffenia01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
